dhiscodeset_id,code_set_nm,lamis_id,dhis_id,description
1,DATA ELEMENT DR,400,S50nYJpyBrV,DR HTS INDEX_Contacts elicited
2,DATA ELEMENT DR,401,UrFz9cpnACL,DR HTS INDEX_Contacts identified as known positive
3,DATA ELEMENT DR,402,wmokvqWk7GD,DR HTS INDEX_Contacts tested: New negative
4,DATA ELEMENT DR,403,NsKvH5KvtQO,DR HTS INDEX_Contacts tested: New positive
5,DATA ELEMENT DR,404,oFZDcfESu3r,DR HTS INDEX_Index cases accepted PNS
6,DATA ELEMENT DR,405,P2Af0Jaxq3Z,DR HTS INDEX_Index cases offered PNS
7,DATA ELEMENT DR,406,GVzVBElsRdq,"DR No. of people tested HIV+ & received results (Gen Pop; ANC, L&D, PNC,TB; Index - No. of children tested HIV+, Partners tested HIV+)"
8,DATA ELEMENT DR,407,QkGUpmxz7CB,DR Number of Adult Patients currently on ART transitioned to TLD
9,DATA ELEMENT DR,408,Tnju1mwkoI4,DR Number of Adult Patients newly initiated on ART with TLD
10,DATA ELEMENT DR,409,hPxF6oFR8fX,DR Number of adults and children currently receiving antiretroviral therapy (ART)
11,DATA ELEMENT DR,410,oBDgDuQrLjl,DR Number of adults and children newly enrolled on antiretroviral therapy (ART) 
12,DATA ELEMENT DR,411,qE88DEF5RvG,DR Number of ART clients expected to attend the clinic for ART refills
13,DATA ELEMENT DR,412,wJBaG4OlGqZ,DR Number of ART clients who defaulted ARV refill appointments and were tracked
14,DATA ELEMENT DR,413,pkKQgUt8efl,DR Number of ART clients who defaulted ARV refill appointments and were tracked and returned on the next scheduled appointment
15,DATA ELEMENT DR,414,HyHjkgOJQez,DR Number of ART clients who defaulted ARV refill appointments and were tracked_Known dead
16,DATA ELEMENT DR,415,p0ZudAomUJc,DR Number of ART clients who defaulted ARV refill appointments and were tracked_Not reached (Client could not be contacted)
17,DATA ELEMENT DR,416,W65VQmLbz5c,DR Number of ART clients who defaulted ARV refill appointments and were tracked_Reached and agreed to return to care
18,DATA ELEMENT DR,417,UoNhntWXg2A,DR Number of ART clients who defaulted ARV refill appointments and were tracked_Undocumented patient transfer
19,DATA ELEMENT DR,418,vZwS20CY0wd,DR Number of ART clients who kept to their ART refill appointment
20,DATA ELEMENT DR,419,AvRt7p9tAhq,DR Number of ART patients eligible for IPT
21,DATA ELEMENT DR,420,xHcIwT5kTbw,DR Number of ART patients who started a course of TB preventive therapy (INH)
22,DATA ELEMENT DR,421,QnFrj9dqFYm,DR Number of ART patients who were screened for TB 
23,DATA ELEMENT DR,422,ibJhszE0FAG,DR Number of ART patients with no clinical contact since their last expected contact clinical contact
24,DATA ELEMENT DR,423,F6JXUeFnbhH,DR Number of ART patients with no clinical contact since their last expected contact clinical contact_Did not attempt to trace patient
25,DATA ELEMENT DR,424,Px8Py5qhCDr,DR Number of ART patients with no clinical contact since their last expected contact clinical contact_Died (Confirmed)
26,DATA ELEMENT DR,425,qB4ckOyuCTt,DR Number of ART patients with no clinical contact since their last expected contact clinical contact_Previously undocumented patient transfer (confirmed)
27,DATA ELEMENT DR,426,fEU4N4FRmsK,DR Number of ART patients with no clinical contact since their last expected contact clinical contact_Traced patient (unable to locate)
28,DATA ELEMENT DR,427,cxK8V5luYSh,DR Number of clients Eligible for HIV test ( from HIV screening tool)
29,DATA ELEMENT DR,428,KD6zyYvg5Vz,DR Number of clients screened for HIV using HIV risk assessment form
30,DATA ELEMENT DR,429,y4rsNpnBLcV,DR Number of Clients screened Positive (ART Clinic)
31,DATA ELEMENT DR,430,ZlIIQ1hbNGJ,DR Number of Clients screened Positive (HTS SDPs)
32,DATA ELEMENT DR,431,WeSW5qxsZKv,DR Number of clients who defaulted the scheduled ARV refill appointment
33,DATA ELEMENT DR,432,mbMbPbvw7yd,DR Number of Clients who were screened for TB (ART Clinic)
34,DATA ELEMENT DR,433,jPcntjxiFof,DR Number of Clients who were screened for TB (HTS SDPs)
35,DATA ELEMENT DR,434,VHvA2y6wH1R,DR Number of diagnosed TB patients started on TB treatment (HIV Negative)
36,DATA ELEMENT DR,435,OxI3kMQEIJs,DR Number of diagnosed TB patients started on TB treatment (PLHIV)
37,DATA ELEMENT DR,436,o4H9qxgfpyD,DR Number of household contacts of registered TB patients screened for TB
38,DATA ELEMENT DR,437,s4kZNyTpjA1,DR Number of household contacts screened positive
